mobile,Model,sim type,display size,resolution,processor type,processor core,internal storage,ram,camera,network type,battery
"Redmi Go (Black, 8 GB)  (1 GB RAM)",MZB7184IN,Dual Sim,12.7 cm (5 inch),1280 x 720 pixels,Qualcomm Snapdragon 425,Quad Core,8 GB,1 GB,8MP,"3G, 4G VOLTE, 4G, 2G",3000 mAh
"Vivo Y91 (Nebula Purple, 32 GB)  (3 GB RAM)",(Vivo 1811/PD1818BF_EX),Dual Sim,15.8 cm (6.22 inch),1520 x 720 pixels,Qualcomm Snapdragon 439,Octa Core,32 GB,3 GB,13MP + 2MP,"3G, 4G VOLTE, 4G, 2G",4030 mAh
"Redmi Note 5 Pro (Gold, 64 GB)  (6 GB RAM)",MZB6084IN,Dual Sim,15.21 cm (5.99 inch),2160 x 1080 Pixels,Qualcomm Snapdragon 636,Octa Core,64 GB,6 GB,12MP + 5MP,"3G, 4G VOLTE, 4G",4000 mAh
Lava A1  (Gold),Lava_A1,Dual Sim,4.5 cm (1.77 inch),240x320 Pixels,24 MB,4 MB,0.3MP,2G,800 mAh
Lava A1  (Black),Lava_A1,Dual Sim,4.5 cm (1.77 inch),240x320 Pixels,24 MB,24 MB,0.3MP,2G,800 mAh
Lava A1  (White/Grey),Lava_A1,Dual Sim,4.5 cm (1.77 inch),240x320 Pixels,24 MB,24 MB,0.3MP,2G,800 mAh
"Redmi Note 7 Pro (Astro Moonlight White, 128 GB)  (6 GB RAM)",MZB8004IN,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Qualcomm Snapdragon 675,Octa Core,128 GB,6 GB,48MP + 5MP,2G,4000 mAh
"Redmi 7A (Matte Gold, 32 GB)  (2 GB RAM)",MZB7989IN,Dual Sim,13.84 cm (5.45 inch),1440 x 720 pixels,Qualcomm Snapdragon 439,Octa Core,32 GB,2 GB,12MP,"4G VOLTE, 3G, 2G",4000 mAh
"Redmi Y3 (Prime Black, 64 GB)  (4 GB RAM)",M1810F6I,Dual Sim,15.9 cm (6.26 inch),1520 x 720 pixels,Qualcomm Snapdragon 632,Octa Core,64 GB,4 GB,12MP + 2MP,"3G, 4G, 2G",4000 mAh
"Redmi Y3 (Bold Red, 32 GB)  (3 GB RAM)",M1810F6I,Dual Sim,15.9 cm (6.26 inch),1520 x 720 pixels,Qualcomm Snapdragon 632,Octa Core,32 GB,3 GB,12MP + 2MP,"3G, 4G, 2G",4000 mAh
"Redmi Y3 (Prime Black, 32 GB)  (3 GB RAM)",M1810F6I,Dual Sim,15.9 cm (6.26 inch),1520 x 720 pixels,Qualcomm Snapdragon 632,Octa Core,32 GB,3 GB,12MP + 2MP,"3G, 4G, 2G",4000 mAh
"Apple iPhone 7 Plus (Black, 32 GB)",MNQM2HN/A,Single Sim,13.97 cm (5.5 inch),1920 x 1080 Pixels,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,32 GB,12MP + 12MP,"3G, 4G VOLTE, 2G"
"OPPO A3s (Purple, 32 GB)  (3 GB RAM)",CPH1803,Dual Sim,15.75 cm (6.2 inch),1520 x 720 Pixels,Qualcomm Snapdragon 450,Octa Core,32 GB,3 GB,13MP + 2MP,"3G, 4G, 2G",4230 mAh
"OPPO A3s (Red, 32 GB)  (3 GB RAM)",CPH1803,Dual Sim,15.75 cm (6.2 inch),1520 x 720 Pixels,Qualcomm Snapdragon 450,Octa Core,32 GB,3 GB,13MP + 2MP,"3G, 4G, 2G",4230 mAh
"Mi A3 (Not just Blue, 128 GB)  (6 GB RAM)",Redmi A3,Dual Sim,15.44 cm (6.08 inch),1560 x 720$$Pixels,Qualcomm Snapdragon 665 octa core,Octa Core,128 GB,6 GB,48MP + 8MP,"4G VOLTE, 3G, 2G",4030 mAh
"Apple iPhone 7 (Gold, 32 GB)",MN902HN/A,Single Sim,11.94 cm (4.7 inch),1334 x 750 Pixels,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,32 GB,12MP,"3G, 4G VOLTE, 2G"
"Redmi K20 Pro (Glacier Blue, 128 GB)  (6 GB RAM)",MZB7749IN,Dual Sim,16.23 cm (6.39 inch),2340 x 1080 pixels,Qualcomm Snapdragon 855,Octa Core,128 GB,6 GB,48MP + 13MP + 8MP,"4G VOLTE, 3G, 2G",4000 mAh
"Asus Zenfone Max Pro M1 (Grey, 64 GB)  (4 GB RAM)",ZB601KL-4H070IN / ZB601KL-4H080IN,Dual Sim,15.21 cm (5.99 inch),2160 x 1080 Pixels,Qualcomm Snapdragon 636 Octa Core,Octa Core,64 GB,4 GB,13MP + 5MP,"3G, 4G VOLTE, 2G",5000 mAh
"OPPO F11 Pro (Thunder Black, 128 GB)  (6 GB RAM)",CPH1969,Dual Sim,16.51 cm (6.5 inch),2340 x 1080 pixels,MediaTek Helio P70 Octa Core 2.1 GHz,Octa Core,128 GB,6 GB,48MP + 5MP,"3G, 4G VOLTE, 4G, 2G",4000 mAh
"Asus ZenFone Max M2 (Black, 64 GB)  (4 GB RAM)",ZB632KL-4A004IN,Dual Sim,15.9 cm (6.26 inch),1520 x 720 pixels,Qualcomm Snapdragon 632 Octa Core,Octa Core,64 GB,4 GB,13MP + 2MP,"3G, 4G VOLTE, 4G, 2G",4000 mAh
"Redmi Y3 (Elegant Blue, 32 GB)  (3 GB RAM)",M1810F6I,Dual Sim,15.9 cm (6.26 inch),1520 x 720 pixels,Qualcomm Snapdragon 632,Octa Core,32 GB,3 GB,12MP + 2MP,"3G, 4G, 2G",4000 mAh
"POCO F1 by Xiaomi (Rosso Red, 64 GB)  (6 GB RAM)",MZB6709IN,Dual Sim,15.7 cm (6.18 inch),2160 x 1080 pixels,Qualcomm Snapdragon 845,Octa Core,64 GB,6 GB,12MP + 5MP,"3G, 4G VOLTE, 2G",4000 mAh
"Honor 10 Lite (Sapphire Blue, 64 GB)  (4 GB RAM)",HRY-AL00,Dual Sim,15.77 cm (6.21 inch),2340 x 1080 pixels,Kirin 710 2.2GHz Octa Core,Octa Core,64 GB,4 GB,13MP + 2MP,"3G, 4G VOLTE, 4G, 2G",3400 mAh
"Redmi 7 (Eclipse Black, 32 GB)  (2 GB RAM)",Redmi 7,Dual Sim,15.9 cm (6.26 inch),720 x 1520$$Pixels,Octa Core,32 GB,2 GB,12MP,"3G, 4G VOLTE, 2G",4000 mAh
